Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",69.78,ISO,103.8
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",5.057,ISO,18.8
2013,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",17.252,ILCD Handbook,85.5
2014,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",17.252,ILCD Handbook,85.5
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",21.77,ISO,100.2
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",44.706,ISO,160.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",13.01,ISO,111.2
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",34.8,ISO,110.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",42.1,ISO,100.0
2015,No,Switzerland,Not used for 2015 reporting,Chemicals,1.0,PAS2050,2.8
2015,No,Switzerland,Not used for 2015 reporting,Chemicals,1.0,PAS2050,3.72
2015,No,Switzerland,Not used for 2015 reporting,Chemicals,1.0,PAS2050,4.82
2015,No,Switzerland,Not used for 2015 reporting,Chemicals,1.0,PAS2050,1.02
2013,No,India,Chemicals,Chemicals,1000.0,GHGP,1282.0
2014,No,India,Chemicals,Chemicals,1000.0,GHGP,1057.0
2015,No,India,Not used for 2015 reporting,Chemicals,1000.0,ISO,1006.0
2017,No,India,Chemicals,Chemicals,1000.0,ISO,870.0
2013,No,India,Chemicals,Chemicals,1000.0,GHGP,701.0
2014,No,India,Chemicals,Chemicals,1000.0,Not reported,840.0
2015,No,India,Not used for 2015 reporting,Chemicals,1000.0,Not reported,764.0
2015,No,India,Not used for 2015 reporting,Chemicals,1000.0,Not reported,504.0
2015,No,India,Not used for 2015 reporting,Chemicals,1000.0,Not reported,701.0
2015,No,India,Not used for 2015 reporting,Chemicals,1000.0,Not reported,1083.0
2014,Yes,India,Metals & Mining,Construction & commercial materials,1000.0,Not reported,2425.0
2015,Yes,India,Not used for 2015 reporting,Construction & commercial materials,1000.0,Not reported,2615.0
2014,Yes,India,Metals & Mining,Construction & commercial materials,1000.0,Not reported,2549.0
2015,Yes,India,Not used for 2015 reporting,Construction & commercial materials,1000.0,Not reported,2746.0
2014,Yes,India,Metals & Mining,Construction & commercial materials,1000.0,Not reported,2611.0
2015,Yes,India,Not used for 2015 reporting,Construction & commercial materials,1000.0,Not reported,2820.0
2013,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.009,ISO,0.017
2014,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.009,ISO,0.017
2015,Yes,Sweden,Not used for 2015 reporting,Packaging for consumer goods,0.009,ISO,0.017
2016,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.009,ISO,0.016
2013,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.018
2014,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.018
2015,Yes,Sweden,Not used for 2015 reporting,Packaging for consumer goods,0.01,ISO,0.018
2016,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.018
2013,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.018
2014,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.018
2015,Yes,Sweden,Not used for 2015 reporting,Packaging for consumer goods,0.01,ISO,0.018
2016,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.01,ISO,0.017
2013,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.028,ISO,0.046
2014,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.028,ISO,0.046
2015,Yes,Sweden,Not used for 2015 reporting,Packaging for consumer goods,0.028,ISO,0.046
2016,Yes,Sweden,Containers & Packaging,Packaging for consumer goods,0.028,ISO,0.042
2013,Yes,USA,Media,"Computer, IT & telecom",14.6,GHGP,9438.0
